"state_abbr","year","fiscal_year","personal_income","population","taxes_last_year","percent_change_personal_income","percent_change_population","estimated_imbalance","state","gov_party","house_dem_share","senate_dem_share","citizen_ideology","year_of_biennium","ranney_10yrs","change_in_gov_party","change_in_house_dem_share","change_in_senate_dem_share","change_in_citizen_ideology","class","proposal","action"
"AL",2009,2010,0.16,4.8,8.3,0,2.13,0,"Alabama","Republican",0.590476,0.59375,27.263,"First Year of Biennium",0.593652,"No Change",0,-0.0348214,-21.1062,"Total Taxes",0,0
"AL",2010,2011,0.17,4.8,8.2,0,0,38,"Alabama","Republican",0.571429,0.6,19.2529,"Second Year of Biennium",0.550914,"No Change",-0.0190476,0.00624999,-8.01013,"Total Taxes",0,0
"AL",2011,2012,0.17,4.8,8.6,5.07,0.03,51,"Alabama","Republican",0.409524,0.352941,36.0237,"First Year of Biennium",NA,"No Change",-0.161905,-0.247059,16.7708,"Total Taxes",0,0
"AK",1987,1988,0.011,0.541984,1.1,-9.09,-0.91,95,"Alaska","Democrat",0.6,0.4,54.9775,"First Year of Biennium",0.497507,NA,NA,NA,NA,"Total Taxes",10.9973,0
"AK",1988,1989,0.012,0.54716,1.3,10,0.5,-152,"Alaska","Democrat",0.6,0.4,53.8658,"Second Year of Biennium",0.499234,"No Change",0,0,-1.11169,"Total Taxes",0,0
"AK",1989,1990,0.013,0.55329,1.4,9.09,0.96,268,"Alaska","Democrat",0.6,0.4,46.6984,"First Year of Biennium",0.500961,"No Change",0,0,-7.16739,"Total Taxes",5.22992,4.51976
"AK",1990,1991,0.013,0.570193,1.5,8.33,1.12,838,"Alaska","Democrat",0.6,0.4,54.967,"Second Year of Biennium",0.504622,"No Change",0,0,8.26865,"Total Taxes",0.721577,0
"AK",1995,1996,0.016,0.608569,1.9,6.67,0.18,0,"Alaska","Democrat",0.435897,0.4,30.476,"First Year of Biennium",0.500378,"No Change",-0.164103,0,-24.4911,"Total Taxes",0,0
"AK",1996,1997,0.017,0.612968,1.5,0,0.69,0,"Alaska","Democrat",0.435897,0.4,37.0107,"Second Year of Biennium",0.492888,"No Change",0,0,6.53475,"Total Taxes",1.88883,0
"AK",1997,1998,0.017,0.619932,1.6,6.25,0.72,NA,"Alaska","Democrat",0.375,0.35,31.8401,"First Year of Biennium",0.485398,"No Change",-0.0608974,-0.05,-5.17061,"Total Taxes",0,0.483363
"AK",1998,1999,0.018,0.624779,1.2,0,1.14,0,"Alaska","Democrat",0.375,0.3,36.3019,"Second Year of Biennium",0.481098,"No Change",0,-0.05,4.46178,"Total Taxes",0,0
"AK",1999,2000,0.019,0.627963,0.91,5.88,0.78,-1984,"Alaska","Democrat",0.35,0.25,32.9792,"First Year of Biennium",0.476798,"No Change",-0.025,-0.05,-3.32267,"Total Taxes",6.99654,0
"AK",2000,2001,0.02,0.633714,1.4,5.56,0.51,0,"Alaska","Democrat",0.35,0.25,21.7351,"Second Year of Biennium",0.47024,"No Change",0,0,-11.2441,"Total Taxes",0,0
"AK",2001,2002,0.021,0.642337,1.4,5.26,0.92,NA,"Alaska","Democrat",0.325,0.3,28.6746,"First Year of Biennium",0.463683,"No Change",-0.025,0.05,6.93954,"Total Taxes",0,0
"AK",2002,2003,0.022,0.648414,1.1,5,1.36,0,"Alaska","Democrat",0.325,0.3,30.8141,"Second Year of Biennium",0.441313,"No Change",0,0,2.13949,"Total Taxes",0,0
"AK",2003,2004,0.023,0.659286,1.1,4.76,0.95,0,"Alaska","Republican",0.325,0.4,37.057,"First Year of Biennium",0.418943,"Change",0,0.1,6.24287,"Total Taxes",2.25734,0.766989
"AK",2004,2005,0.025,0.666946,1.3,4.55,1.68,226,"Alaska","Republican",0.325,0.4,43.0612,"Second Year of Biennium",0.402669,"No Change",0,0,6.0042,"Total Taxes",1.34683,0.265005
"AK",2005,2006,0.026,0.675302,1.9,8.7,1.16,0,"Alaska","Republican",0.35,0.4,40.2936,"First Year of Biennium",0.386395,"No Change",0.025,0,-2.76759,"Total Taxes",0,0
"AK",2006,2007,0.028,0.6803,2.5,4,1.25,0,"Alaska","Republican",0.35,0.4,45.082,"Second Year of Biennium",0.374702,"No Change",0,0,4.78847,"Total Taxes",5.4755,0
"AK",2007,2008,0.031,0.687455,3.7,7.69,0.74,0,"Alaska","Republican",0.35,0.4,59.8064,"First Year of Biennium",0.36301,"No Change",0,0,14.7243,"Total Taxes",-0.0120454,0
"AK",2008,2009,0.03,0.698895,8.7,10.71,1.05,-1363,"Alaska","Republican",0.425,0.45,67.104,"Second Year of Biennium",0.365003,"No Change",0.075,0.05,7.29758,"Total Taxes",-0.0157342,-0.145463
"AK",2009,2010,0.032,0.714146,5,-3.23,1.66,950,"Alaska","Republican",0.45,0.5,64.2383,"First Year of Biennium",0.366995,"No Change",0.025,0.05,-2.8657,"Total Taxes",-0.0700354,0.239045
"AK",2010,2011,0.035,0.723375,4.5,6.67,2.18,-785,"Alaska","Republican",0.45,0.5,50.9792,"Second Year of Biennium",0.365378,"No Change",0,0,-13.2591,"Total Taxes",0,0
"AK",2011,2012,0.036,0.730307,5.5,8.92,1.29,1969,"Alaska","Republican",0.4,0.5,55.6035,"First Year of Biennium",NA,"No Change",-0.05,0,4.62426,"Total Taxes",0,0
"AZ",1987,1988,0.056,3.5,3.5,8.51,3.03,34,"Arizona","Republican",0.4,0.366667,38.0021,"First Year of Biennium",0.445515,NA,NA,NA,NA,"Total Taxes",0,0
"AZ",1988,1989,0.059,3.6,3.7,7.84,2.94,5,"Arizona","Democrat",0.4,0.366667,37.7372,"Second Year of Biennium",0.446153,"Change",0,0,-0.26489,"Total Taxes",0.653893,1.42515
"AZ",1989,1990,0.062,3.7,4.1,7.27,2.86,6,"Arizona","Democrat",0.433333,0.433333,37.226,"First Year of Biennium",0.44679,"No Change",0.0333333,0.0666666,-0.51117,"Total Taxes",2.01876,0.720222
"AZ",1990,1991,0.065,3.8,4.4,5.08,2.78,0,"Arizona","Democrat",0.433333,0.433333,38.6521,"Second Year of Biennium",0.452414,"No Change",0,0,1.42602,"Total Taxes",1.22996,1.75768
"AZ",1991,1992,0.07,3.9,4.7,4.84,2.7,5,"Arizona","Republican",0.45,0.566667,35.6622,"First Year of Biennium",0.457501,"Change",0.0166667,0.133333,-2.98983,"Total Taxes",0,0.059836
"AZ",1992,1993,0.075,4.1,4.8,7.69,2.63,5,"Arizona","Republican",0.45,0.566667,43.2098,"Second Year of Biennium",0.442128,"No Change",0,0,7.54754,"Total Taxes",-0.397928,-0.0307595
"AZ",1993,1994,0.082,4.2,5.3,7.14,5.13,192,"Arizona","Republican",0.416667,0.4,39.2072,"First Year of Biennium",0.426754,"No Change",-0.0333333,-0.166667,-4.00256,"Total Taxes",-0.294317,-0.198983
"AZ",1994,1995,0.089,4.4,5.7,9.33,2.44,221,"Arizona","Republican",0.416667,0.4,33.2529,"Second Year of Biennium",0.408411,"No Change",0,0,-5.95434,"Total Taxes",-0.558496,-0.604396
"AZ",1995,1996,0.097,4.6,6.2,8.54,4.76,275,"Arizona","Republican",0.366667,0.366667,40.2565,"First Year of Biennium",0.390068,"No Change",-0.05,-0.0333333,7.0036,"Total Taxes",-1.02691,-1.13399
"AZ",1996,1997,0.11,4.7,6.4,8.99,4.55,255,"Arizona","Republican",0.366667,0.366667,36.1675,"Second Year of Biennium",0.38988,"No Change",0,0,-4.08898,"Total Taxes",-1.24353,-0.768987
"AZ",1997,1998,0.12,4.9,6.6,13.4,2.17,497,"Arizona","Republican",0.366667,0.4,42.3912,"First Year of Biennium",0.377192,"No Change",0,0.0333333,6.2237,"Total Taxes",-0.482338,-0.745684
"AZ",1998,1999,0.12,5,6.9,9.09,4.26,60,"Arizona","Republican",0.366667,0.4,43.5324,"Second Year of Biennium",0.360718,"No Change",0,0,1.14121,"Total Taxes",-0.968869,-0.611368
"AZ",1999,2000,0.14,5.2,7.5,0,2.04,175,"Arizona","Republican",0.333333,0.466667,40.1107,"First Year of Biennium",0.344244,"No Change",-0.0333334,0.0666667,-3.42167,"Total Taxes",-0.0551794,-0.187486
"AZ",2000,2001,0.14,5.3,8.1,16.67,4,104,"Arizona","Republican",0.366667,0.466667,40.2305,"Second Year of Biennium",0.3382,"No Change",0.0333334,0,0.11982,"Total Taxes",0,-0.00954791
"AZ",2001,2002,0.15,5.4,8.4,0,1.92,2,"Arizona","Republican",0.4,0.5,42.8437,"First Year of Biennium",0.332693,"No Change",0.0333333,0.0333333,2.61315,"Total Taxes",-0.0568469,-0.0627744
"AZ",2002,2003,0.16,5.5,8.5,7.14,1.89,61,"Arizona","Republican",0.4,0.5,43.8153,"Second Year of Biennium",0.345083,"No Change",0,0,0.97162,"Total Taxes",0,0
"AZ",2003,2004,0.17,5.7,8.7,6.67,1.85,173,"Arizona","Democrat",0.35,0.433333,46.8429,"First Year of Biennium",0.357472,"Change",-0.05,-0.0666667,3.02755,"Total Taxes",0.0585458,0
"AZ",2004,2005,0.19,5.8,9.6,6.25,3.64,144,"Arizona","Democrat",0.35,0.433333,47.7508,"Second Year of Biennium",0.371997,"No Change",0,0,0.90796,"Total Taxes",0,0.270976
"AZ",2005,2006,0.21,6,11,11.76,1.75,1047,"Arizona","Democrat",0.366667,0.4,46.6944,"First Year of Biennium",0.386523,"No Change",0.0166667,-0.0333333,-1.05646,"Total Taxes",0,-0.0543284
"AZ",2006,2007,0.22,6.2,13,10.53,3.45,422,"Arizona","Democrat",0.35,0.4,50.1495,"Second Year of Biennium",0.406463,"No Change",-0.0166667,0,3.4551,"Total Taxes",-0.244879,-0.459702
"AZ",2007,2008,0.23,6.3,14,4.76,3.33,158,"Arizona","Democrat",0.45,0.433333,48.6919,"First Year of Biennium",0.426402,"No Change",0.1,0.0333333,-1.4576,"Total Taxes",0,-0.451976
"AZ",2008,2009,0.22,6.3,13,4.55,1.61,-441,"Arizona","Democrat",0.45,0.433333,48.5431,"Second Year of Biennium",0.433461,"No Change",0,0,-0.14875,"Total Taxes",0,0.0297454
"AZ",2009,2010,0.22,6.4,11,-4.35,0,50,"Arizona","Republican",0.416667,0.4,44.1794,"First Year of Biennium",0.44052,"Change",-0.0333333,-0.0333333,-4.36373,"Total Taxes",0,0
"AZ",2010,2011,0.23,6.5,10,0,1.59,3,"Arizona","Republican",0.416667,0.4,39.1737,"Second Year of Biennium",0.423001,"No Change",0,0,-5.0057,"Total Taxes",2.99242,3.26929
"AZ",2011,2012,0.24,6.6,12,4.42,1.07,3,"Arizona","Republican",0.333333,0.3,47.2821,"First Year of Biennium",NA,"No Change",-0.0833334,-0.1,8.10846,"Total Taxes",0,0
"AR",1987,1988,0.031,2.3,1.9,3.7,0,0,"Arkansas","Democrat",0.91,0.885714,50.9251,"First Year of Biennium",0.835102,NA,NA,NA,NA,"Total Taxes",0.770725,0.795583
"AR",1988,1989,0.032,2.3,2,7.14,0,0,"Arkansas","Democrat",0.91,0.885714,56.5966,"Second Year of Biennium",0.8311,"No Change",0,0,5.67155,"Total Taxes",0,0
"AR",1989,1990,0.034,2.4,2.2,6.67,0,0,"Arkansas","Democrat",0.888889,0.885714,53.948,"First Year of Biennium",0.827097,"No Change",-0.0211111,0,-2.64865,"Total Taxes",3.18343,0.0830905
"AR",1990,1991,0.036,2.4,2.3,6.25,4.35,0,"Arkansas","Democrat",0.888889,0.885714,41.1379,"Second Year of Biennium",0.839312,"No Change",0,0,-12.8101,"Total Taxes",0,0
"AR",1991,1992,0.039,2.4,2.4,5.88,0,0,"Arkansas","Democrat",0.91,0.885714,40.2771,"First Year of Biennium",0.851527,"No Change",0.0211111,0,-0.86081,"Total Taxes",2.12229,4.10126
"AR",1992,1993,0.041,2.5,2.7,8.33,0,0,"Arkansas","Democrat",0.909091,0.885714,45.6947,"Second Year of Biennium",0.85002,"No Change",-0.000909091,0,5.4176,"Total Taxes",0,0
"AR",1993,1994,0.044,2.5,2.9,5.13,4.17,0,"Arkansas","Democrat",0.89899,0.857143,42.2312,"First Year of Biennium",0.848514,"No Change",-0.010101,-0.0285714,-3.46345,"Total Taxes",1.00992,1.11522
"AR",1994,1995,0.046,2.5,3.2,7.32,0,0,"Arkansas","Democrat",0.888889,0.857143,40.2963,"Second Year of Biennium",0.844966,"No Change",-0.010101,0,-1.93495,"Total Taxes",0,0
"AR",1995,1996,0.049,2.6,3.4,4.55,0,0,"Arkansas","Democrat",0.88,0.8,40.0728,"First Year of Biennium",0.828918,"No Change",-0.00888889,-0.0571429,-0.22348,"Total Taxes",0,-0.175768
"AR",1996,1997,0.052,2.6,3.7,6.52,4,0,"Arkansas","Republican",0.878788,0.8,35.4879,"Second Year of Biennium",0.81223,"Change",-0.00121212,0,-4.58491,"Total Taxes",0,0
"AR",1997,1998,0.055,2.6,3.8,6.12,0,0,"Arkansas","Republican",0.868687,0.823529,45.3525,"First Year of Biennium",0.795542,"No Change",-0.010101,0.0235294,9.86466,"Total Taxes",0,0.305282
"AR",1998,1999,0.057,2.7,4.1,5.77,0,37,"Arkansas","Republican",0.86,0.8,47.0043,"Second Year of Biennium",0.772226,"No Change",-0.00868687,-0.0235294,1.65179,"Total Taxes",-0.760917,0
"AR",1999,2000,0.06,2.7,4.6,3.64,3.85,0,"Arkansas","Republican",0.76,0.828571,46.3162,"First Year of Biennium",0.74891,"No Change",-0.1,0.0285714,-0.68813,"Total Taxes",-0.14533,-0.160484
"AR",2000,2001,0.064,2.7,4.9,5.26,0,0,"Arkansas","Republican",0.762887,0.828571,33.548,"Second Year of Biennium",0.723736,"No Change",0.0028866,0,-12.7682,"Total Taxes",0,-0.107613
"AR",2001,2002,0.066,2.7,5,6.67,0,0,"Arkansas","Republican",0.7,0.771429,49.7243,"First Year of Biennium",0.698561,"No Change",-0.0628866,-0.0571428,16.1763,"Total Taxes",0,-0.0161707
"AR",2002,2003,0.069,2.7,5.2,3.13,0,0,"Arkansas","Republican",0.7,0.771429,43.5285,"Second Year of Biennium",0.676811,"No Change",0,0,-6.19582,"Total Taxes",0,0
"AR",2003,2004,0.074,2.7,5.1,4.55,0,0,"Arkansas","Republican",0.72,0.771429,50.4057,"First Year of Biennium",0.655061,"No Change",0.02,0,6.87724,"Total Taxes",1.37324,0.758216
"AR",2004,2005,0.077,2.8,5.6,7.25,0,0,"Arkansas","Republican",0.7,0.771429,52.6281,"Second Year of Biennium",0.634629,"No Change",-0.02,0,2.22243,"Total Taxes",0.682163,0.345259
"AR",2005,2006,0.083,2.8,6.5,4.05,3.7,0,"Arkansas","Republican",0.72,0.771429,49.1916,"First Year of Biennium",0.626697,"No Change",0.02,0,-3.43654,"Total Taxes",-0.264469,-0.324495
"AR",2006,2007,0.089,2.8,7,7.79,0,0,"Arkansas","Republican",0.72,0.771429,49.1493,"Second Year of Biennium",0.634996,"No Change",0,0,-0.04225,"Total Taxes",0,0
"AR",2007,2008,0.094,2.9,7.4,7.23,0,0,"Arkansas","Democrat",0.75,0.771429,56.3867,"First Year of Biennium",0.643294,"Change",0.03,0,7.23739,"Total Taxes",-0.860386,-0.950099
"AR",2008,2009,0.093,2.9,7.5,5.62,3.57,0,"Arkansas","Democrat",0.75,0.771429,57.633,"Second Year of Biennium",0.657927,"No Change",0,0,1.24623,"Total Taxes",-0.0424457,-0.0468716
"AR",2009,2010,0.096,2.9,7.5,-1.06,0,0,"Arkansas","Democrat",0.717172,0.771429,44.2342,"First Year of Biennium",0.672561,"No Change",-0.0328283,0,-13.3988,"Total Taxes",0.178272,0.121866
"AR",2010,2011,0.1,2.9,7.3,3.23,0,0,"Arkansas","Democrat",0.717172,0.771429,32.1731,"Second Year of Biennium",0.682928,"No Change",0,0,-12.061,"Total Taxes",0,-0.0279303
"AR",2011,2012,0.11,2.9,8,4.35,1.33,0,"Arkansas","Democrat",0.555556,0.571429,29.1734,"First Year of Biennium",NA,"No Change",-0.161616,-0.2,-2.9997,"Total Taxes",-0.0636686,-0.105461
"CA",1987,1988,0.56,28,36,8.51,3.7,962,"California","Republican",0.55,0.615385,53.2296,"First Year of Biennium",0.604923,NA,NA,NA,NA,"Total Taxes",0,-1.17179
"CA",1988,1989,0.6,29,36,9.8,0,212,"California","Republican",0.55,0.615385,56.6052,"Second Year of Biennium",0.585648,"No Change",0,0,3.37569,"Total Taxes",0,0
"CA",1989,1990,0.64,30,41,7.14,3.57,694,"California","Republican",0.5875,0.615385,55.8268,"First Year of Biennium",0.566372,"No Change",0.0375,0,-0.77846,"Total Taxes",0,0
"CA",1990,1991,0.66,30,43,6.67,3.45,-735,"California","Republican",0.5875,0.615385,53.4977,"Second Year of Biennium",0.55285,"No Change",0,0,-2.32909,"Total Taxes",0,1.22629
"CA",1991,1992,0.7,31,45,3.13,0,-1344,"California","Republican",0.6,0.666667,51.6701,"First Year of Biennium",0.539327,"No Change",0.0125,0.0512821,-1.82755,"Total Taxes",0.537646,4.4528
"CA",1992,1993,0.71,31,48,6.06,3.33,-2100,"California","Republican",0.5875,0.657895,52.4721,"Second Year of Biennium",0.53894,"No Change",-0.0125,-0.00877193,0.80192,"Total Taxes",0.139275,0.446745
"CA",1993,1994,0.74,31,49,1.43,0,-693,"California","Republican",0.6,0.621622,53.2545,"First Year of Biennium",0.538553,"No Change",0.0125,-0.0362731,0.78243,"Total Taxes",0.123439,0.932648
"CA",1994,1995,0.78,32,50,4.23,0,566,"California","Republican",0.582278,0.578947,48.9308,"Second Year of Biennium",0.532651,"No Change",-0.0177215,-0.0426743,-4.32366,"Total Taxes",-0.0604851,0
"CA",1995,1996,0.83,32,53,5.41,3.23,403,"California","Republican",0.493671,0.552632,49.1062,"First Year of Biennium",0.526748,"No Change",-0.0886076,-0.0263158,0.17538,"Total Taxes",-0.138149,-0.218881
"CA",1996,1997,0.88,32,58,6.41,0,648,"California","Republican",0.493671,0.552632,50.2966,"Second Year of Biennium",0.527105,"No Change",0,0,1.19033,"Total Taxes",-0.312854,-0.0515183
"CA",1997,1998,0.96,33,62,6.02,0,774,"California","Republican",0.5375,0.589744,53.7509,"First Year of Biennium",0.527462,"No Change",0.0438291,0.037112,3.45434,"Total Taxes",-0.0220786,-0.0963891
"CA",1998,1999,1,33,68,9.09,3.13,1097,"California","Republican",0.531646,0.589744,55.6495,"Second Year of Biennium",0.546015,"No Change",-0.00585443,0,1.89863,"Total Taxes",0,-0.723752
"CA",1999,2000,1.1,34,72,4.17,0,3012,"California","Democrat",0.6,0.625,57.0943,"First Year of Biennium",0.564568,"Change",0.0683544,0.0352564,1.44482,"Total Taxes",0,-0.146474
"CA",2000,2001,1.2,34,84,10,3.03,6557,"California","Democrat",0.594937,0.615385,51.1409,"Second Year of Biennium",0.580493,"No Change",-0.00506329,-0.00961538,-5.95349,"Total Taxes",-0.0644265,-0.209248
"CA",2001,2002,1.2,35,90,9.09,0,1486,"California","Democrat",0.625,0.666667,56.6801,"First Year of Biennium",0.596418,"No Change",0.0300633,0.0512821,5.53926,"Total Taxes",-0.0389086,-0.018358
"CA",2002,2003,1.2,35,78,0,2.94,-4451,"California","Democrat",0.625,0.65,56.2896,"Second Year of Biennium",0.610135,"No Change",0,-0.0166667,-0.39054,"Total Taxes",0.0314261,0
"CA",2003,2004,1.3,36,79,0,0,1219,"California","Democrat",0.6,0.625,55.6249,"First Year of Biennium",0.611352,"No Change",-0.025,-0.025,-0.66469,"Total Taxes",3.42521,0.0667475
"CA",2004,2005,1.4,36,86,8.33,2.86,1425,"California","Republican",0.6,0.625,59.1004,"Second Year of Biennium",0.618397,"Change",0,0,3.47548,"Total Taxes",0.118453,0.0776651
"CA",2005,2006,1.5,36,98,7.69,0,7031,"California","Republican",0.6,0.625,57.7577,"First Year of Biennium",0.625442,"No Change",0,0,-1.34265,"Total Taxes",0,0
"CA",2006,2007,1.6,36,110,7.14,0,3198,"California","Republican",0.6,0.625,59.9066,"Second Year of Biennium",0.627549,"No Change",0,0,2.14884,"Total Taxes",0.0694566,0.06072
"CA",2007,2008,1.6,37,110,6.67,0,1757,"California","Republican",0.6,0.625,61.5075,"First Year of Biennium",0.629655,"No Change",0,0,1.60098,"Total Taxes",0.0578805,0.0543284
"CA",2008,2009,1.5,37,120,0,2.78,-2341,"California","Republican",0.594937,0.625,63.928,"Second Year of Biennium",0.613713,"No Change",-0.00506329,0,2.42052,"Total Taxes",0.005571,0.732368
"CA",2009,2010,1.6,37,100,-6.25,0,-3863,"California","Republican",0.6375,0.641026,63.1542,"First Year of Biennium",0.597771,"No Change",0.0425633,0.0160256,-0.77388,"Total Taxes",3.50177,3.51537
"CA",2010,2011,1.7,38,100,6.67,0,-1206,"California","Republican",0.628205,0.641026,58.1784,"Second Year of Biennium",0.596931,"No Change",-0.00929487,0,-4.97576,"Total Taxes",-0.311976,0.421844
"CA",2011,2012,1.8,38,120,5.35,1.81,-3079,"California","Democrat",0.65,0.625,54.7185,"First Year of Biennium",NA,"Change",0.0217949,-0.0160256,-3.45987,"Total Taxes",2.91814,-0.011132
"CO",1987,1988,0.057,3.3,2.5,3.92,3.13,126,"Colorado","Democrat",0.369231,0.285714,42.357,"First Year of Biennium",0.460112,NA,NA,NA,NA,"Total Taxes",0,0.0210922
"CO",1988,1989,0.06,3.3,2.7,5.66,0,102,"Colorado","Democrat",0.369231,0.285714,51.1238,"Second Year of Biennium",0.457864,"No Change",0,0,8.76681,"Total Taxes",0,0
"CO",1989,1990,0.064,3.3,2.9,7.14,0,111,"Colorado","Democrat",0.4,0.314286,45.9781,"First Year of Biennium",0.455616,"No Change",0.0307692,0.0285714,-5.14575,"Total Taxes",0,0.727317
"CO",1990,1991,0.068,3.4,3.1,6.67,0,80,"Colorado","Democrat",0.4,0.314286,44.1018,"Second Year of Biennium",0.456468,"No Change",0,0,-1.87623,"Total Taxes",0,0
"CO",1991,1992,0.074,3.5,3.2,6.25,3.03,76,"Colorado","Democrat",0.415385,0.342857,46.3364,"First Year of Biennium",0.457321,"No Change",0.0153846,0.0285715,2.23455,"Total Taxes",0,0
"CO",1992,1993,0.08,3.6,3.5,8.82,2.94,230,"Colorado","Democrat",0.415385,0.342857,47.7574,"Second Year of Biennium",0.460471,"No Change",0,0,1.42099,"Total Taxes",0,0.502195
"CO",1993,1994,0.087,3.7,3.8,8.11,2.86,320,"Colorado","Democrat",0.476923,0.457143,42.8629,"First Year of Biennium",0.463622,"No Change",0.0615385,0.114286,-4.89454,"Total Taxes",0,0
"CO",1994,1995,0.094,3.8,4.2,8.75,2.78,399,"Colorado","Democrat",0.476923,0.457143,41.3008,"Second Year of Biennium",0.467359,"No Change",0,0,-1.56203,"Total Taxes",0,0
"CO",1995,1996,0.1,3.9,4.5,8.05,2.7,503,"Colorado","Democrat",0.369231,0.457143,42.479,"First Year of Biennium",0.471096,"No Change",-0.107692,0,1.17817,"Total Taxes",0,0
"CO",1996,1997,0.11,4,4.8,6.38,2.63,396,"Colorado","Democrat",0.369231,0.457143,45.8501,"Second Year of Biennium",0.474727,"No Change",0,0,3.3711,"Total Taxes",0,-0.124503
